num_cores,ncore1,ncore8,ncore16,ncore24,ncore32,ncore48
1,30447.047,29157.186,31585.891,36609.246,36146.008,32559.486
8,6243.522,4238.675,4278.641,4169.189,4477.901,4833.745
16,3999.66,2975.207,4804.078,2890.857,3971.901,2805.799
24,2909.018,2284.842,2919.294,2042.994,2044.673,2004.967
32,2213.596,1946.124,1603.544,2219.136,1928.852,1546.406
48,1679.534,1346.179,1280.03,1321.061,1666.668,1369.649
