num_cores,ncore1,ncore8,ncore16,ncore24,ncore32,ncore48,ncore64
1,4551.85,4696.623,4982.028,4065.322,4297.863,4414.127,4170.42
8,883.396,675.853,737.655,679.93,623.732,514.366,768.766
16,551.947,400.439,371.643,379.914,374.083,340.686,364.701
24,388.119,294.024,381.096,289.262,290.004,285.978,296.746
32,324.829,249.651,233.014,305.916,255.485,259.437,257.903
48,224.705,179.26,170.1,175.108,228.674,257.44,252.947
64,188.619,150.806,139.76,189.165,157.45,196.339,223.009
