num_cores,ncore1,ncore8,ncore16,ncore24,ncore32,ncore48
1,4001.447,5502.679,5274.05,3389.169,3643.881,3768.666
8,725.233,673.055,582.753,621.015,559.01,601.571
16,509.176,344.251,352.904,322.606,328.749,285.008
24,373.498,292.383,379.805,250.954,256.903,264.84
32,301.499,221.755,202.656,300.801,203.911,206.911
48,237.711,172.449,167.367,167.945,231.725,205.991
