num_cores,ncore1,ncore8,ncore16,ncore24,ncore32,ncore48
1,4985.515,5529.204,3996.938,6183.52,6107.935,4160.27
8,897.192,1381.767,888.885,543.866,555.814,674.799
16,736.483,438.197,435.068,405.721,401.329,416.122
24,403.556,347.798,513.687,336.68,322.995,335.493
32,396.869,281.12,260.073,397.999,252.03,253.502
48,227.487,171.379,164.184,167.29,229.352,210.798
